Execucao,Linha,Coluna,Menor Soma Global,IndiceI,IndiceJ,alturaMenorXlarguraMenor,Submatrizes Percorridas,Tempo Total (s),
5,54,54,-127050,5,12,24x42,2205225,0.02002
5,48,48,-69315,6,5,10x40,1382976,0.012482
5,1,1,-1,0,0,1x1,1,0
5,78,78,-667707,0,0,60x69,9492561,0.085616
5,57,57,-261123,2,6,53x39,2732409,0.024741
5,33,33,-26253,18,6,15x26,314721,0.002971
5,17,17,-4046,2,9,15x8,23409,0.000254
5,6,6,-159,1,0,5x3,441,6e-06
5,56,56,-159220,7,16,48x39,2547216,0.02297
5,50,50,-113440,31,0,19x28,1625625,0.014739
5,9,9,-413,2,1,4x5,2025,2.9e-05
5,8,8,-333,0,1,7x5,1296,1.9e-05
5,30,30,-23367,5,1,17x28,216225,0.002015
5,49,49,-89671,28,2,14x27,1500625,0.013733
5,5,5,-65,1,0,2x4,225,5e-06
5,63,63,-142194,0,14,17x42,4064256,0.037042
5,38,38,-33909,20,2,17x36,549081,0.005054
5,35,35,-32771,3,8,32x15,396900,0.003647
5,47,47,-69670,0,11,28x20,1272384,0.011528
5,26,26,-19376,2,0,20x25,123201,0.001196
5,73,73,-296417,11,0,39x35,7295401,0.065712
6,23,23,-17590,3,0,20x21,76176,0.001199
6,39,39,-42792,12,17,14x22,608400,0.007521
6,24,24,-14299,3,4,21x20,90000,0.00087
6,28,28,-13561,5,3,13x10,164836,0.001521
6,66,66,-344390,21,0,45x64,4888521,0.04416
6,67,67,-262577,6,8,60x29,5189284,0.047068
6,79,79,-406222,18,29,60x49,9985600,0.089638
6,10,10,-514,2,0,3x10,3025,4e-05
6,51,51,-153760,5,1,46x35,1758276,0.015781
6,40,40,-41468,0,33,37x7,672400,0.006161
6,80,80,-402170,30,14,49x57,10497600,0.094463
6,27,27,-8200,0,6,19x4,142884,0.001348
6,13,13,-1521,0,2,8x9,8281,8.7e-05
6,22,22,-5738,0,1,3x21,64009,0.000612
6,43,43,-52565,7,37,36x6,894916,0.008097
6,25,25,-10231,0,5,13x14,105625,0.001032
6,55,55,-129056,32,5,23x41,2371600,0.02125
6,14,14,-2317,2,0,12x9,11025,0.000135
6,72,72,-327809,34,20,38x52,6906384,0.061977
6,20,20,-3702,1,3,5x12,44100,0.000466
6,15,15,-2145,4,1,6x14,14400,0.000144
6,7,7,-284,4,0,2x7,784,1e-05
6,18,18,-4221,0,5,18x7,29241,0.000286
6,45,45,-100837,1,14,42x25,1071225,0.009633
6,4,4,-24,2,0,1x2,100,3e-06
