Execucao,Linha,Coluna,Menor Soma Global,IndiceI,IndiceJ,alturaMenorXlarguraMenor,Submatrizes Percorridas,Tempo Total (s)
4,21,21,-6258,10,1,11x10,53361,0.006696
4,71,71,-454587,9,17,55x34,6533136,7.52998
4,44,44,-70042,17,3,22x34,980100,0.470664
4,62,62,-250979,0,0,25x51,3814209,3.43022
4,41,41,-80497,9,1,29x28,741321,0.314784
4,60,60,-158633,21,28,35x32,3348900,2.84284
4,64,64,-122979,56,10,7x30,4326400,4.12955
4,11,11,-910,0,0,10x7,4356,0.000192
4,31,31,-14896,15,4,14x9,246016,0.063088
4,12,12,-1957,5,1,5x11,6084,0.000304
4,37,37,-29113,9,1,28x19,494209,0.174496
4,42,42,-64769,7,6,35x22,815409,0.361664
4,52,52,-109523,19,0,20x48,1898884,1.24067
4,46,46,-89239,2,18,37x28,1168561,0.609888
4,77,77,-400077,21,2,45x32,9018009,12.0589
4,54,54,-127050,5,12,24x42,2205225,1.54534
4,48,48,-69315,6,5,10x40,1382976,0.780608
4,1,1,-1,0,0,1x1,1,0
4,78,78,-667707,0,0,60x69,9492561,13.0225
4,57,57,-261123,2,6,53x39,2732409,2.10886
4,33,33,-26253,18,6,15x26,314721,0.090704
4,17,17,-4046,2,9,15x8,23409,0.002032
4,6,6,-159,1,0,5x3,441,0
4,56,56,-159220,7,16,48x39,2547216,1.90514
4,50,50,-113440,31,0,19x28,1625625,0.989216
4,9,9,-413,2,1,4x5,2025,8e-05
4,8,8,-333,0,1,7x5,1296,3.2e-05
4,30,30,-23367,5,1,17x28,216225,0.0524
4,49,49,-89671,28,2,14x27,1500625,0.877024
4,5,5,-65,1,0,2x4,225,1.6e-05
4,63,63,-142194,0,14,17x42,4064256,3.75619
4,38,38,-33909,20,2,17x36,549081,0.203152
4,35,35,-32771,3,8,32x15,396900,0.126256
4,47,47,-69670,0,11,28x20,1272384,0.687984
4,26,26,-19376,2,0,20x25,123201,0.022944
4,73,73,-296417,11,0,39x35,7295401,8.85214
5,23,23,-17590,3,0,20x21,76176,0.011406
5,39,39,-42792,12,17,14x22,608400,0.234804
5,24,24,-14299,3,4,21x20,90000,0.01472
5,28,28,-13561,5,3,13x10,164836,0.034933
5,66,66,-344390,21,0,45x64,4888521,4.92367
5,67,67,-262577,6,8,60x29,5189284,5.37157
5,79,79,-406222,18,29,60x49,9985600,13.995
5,10,10,-514,2,0,3x10,3025,0.000142
5,51,51,-153760,5,1,46x35,1758276,1.10274
5,40,40,-41468,0,33,37x7,672400,0.271738
5,80,80,-402170,30,14,49x57,10497600,15.089
5,27,27,-8200,0,6,19x4,142884,0.028372
5,13,13,-1521,0,2,8x9,8281,0.000444
5,22,22,-5738,0,1,3x21,64009,0.008864
5,43,43,-52565,7,37,36x6,894916,0.413032
5,25,25,-10231,0,5,13x14,105625,0.018316
5,55,55,-129056,32,5,23x41,2371600,1.7094
5,14,14,-2317,2,0,12x9,11025,0.000764
5,72,72,-327809,34,20,38x52,6906384,8.14766
5,20,20,-3702,1,3,5x12,44100,0.005084
5,15,15,-2145,4,1,6x14,14400,0.000984
5,7,7,-284,4,0,2x7,784,2e-05
5,18,18,-4221,0,5,18x7,29241,0.0028
5,45,45,-100837,1,14,42x25,1071225,0.5374
5,4,4,-24,2,0,1x2,100,4e-06
5,2,2,-6,1,0,1x2,9,0
5,74,74,-179177,12,1,12x48,7700625,9.57762
5,65,65,-149380,2,37,57x19,4601025,4.51968
5,3,3,-22,0,0,3x1,36,0
5,61,61,-176515,0,23,60x32,3575881,3.12946
5,53,53,-127317,20,0,27x51,2047761,1.38658
5,32,32,-38938,4,2,26x26,278784,0.075664
5,75,75,-427790,21,16,49x55,8122500,10.3664
5,34,34,-46313,0,12,31x14,354025,0.107264
5,36,36,-58367,0,0,30x29,443556,0.147936
5,58,58,-188627,9,4,45x30,2927521,2.32339
5,19,19,-3439,7,2,9x5,36100,0.003816
5,68,68,-292209,8,15,59x50,5503716,5.84938
5,76,76,-356242,10,44,51x30,8561476,11.2144
5,70,70,-209499,47,4,23x66,6175225,6.94317
5,16,16,-4055,0,6,15x8,18496,0.001616
5,29,29,-16356,6,10,20x17,189225,0.043384
5,69,69,-242348,3,0,19x51,5832225,6.38808
5,59,59,-256693,13,1,38x45,3132900,2.5799
5,21,21,-6258,10,1,11x10,53361,0.006864
5,71,71,-454587,9,17,55x34,6533136,7.54064
5,44,44,-70042,17,3,22x34,980100,0.474696
5,62,62,-250979,0,0,25x51,3814209,3.43246
